0 	 597 	 148 	 3.000000 
1 	 508 	 132 	 7.000000 
2 	 486 	 465 	 3.000000 
3 	 49 	 512 	 9.000000 
4 	 78 	 571 	 9.000000 
5 	 582 	 139 	 5.000000 
6 	 45 	 576 	 4.000000 
7 	 295 	 347 	 1.000000 
8 	 266 	 560 	 3.000000 
9 	 418 	 161 	 3.000000 
10 	 498 	 36 	 4.000000 
11 	 275 	 404 	 3.000000 
12 	 541 	 24 	 6.000000 
13 	 535 	 496 	 6.000000 
14 	 198 	 412 	 9.000000 
15 	 524 	 66 	 6.000000 
16 	 121 	 530 	 5.000000 
17 	 142 	 135 	 8.000000 
18 	 371 	 0 	 1.000000 
19 	 259 	 165 	 7.000000 
20 	 314 	 408 	 10.000000 
21 	 553 	 289 	 7.000000 
22 	 223 	 395 	 3.000000 
23 	 544 	 478 	 6.000000 
24 	 214 	 238 	 6.000000 
25 	 121 	 256 	 7.000000 
26 	 18 	 55 	 8.000000 
27 	 504 	 559 	 9.000000 
28 	 409 	 89 	 1.000000 
29 	 570 	 43 	 7.000000 
30 	 52 	 184 	 7.000000 
31 	 133 	 598 	 3.000000 
32 	 132 	 257 	 6.000000 
33 	 406 	 45 	 1.000000 
34 	 370 	 236 	 1.000000 
35 	 22 	 308 	 6.000000 
36 	 360 	 353 	 7.000000 
37 	 509 	 340 	 4.000000 
38 	 424 	 242 	 9.000000 
39 	 549 	 379 	 2.000000 
40 	 91 	 185 	 7.000000 
41 	 284 	 309 	 4.000000 
42 	 347 	 65 	 4.000000 
43 	 273 	 594 	 2.000000 
44 	 161 	 470 	 2.000000 
45 	 57 	 342 	 2.000000 
46 	 343 	 199 	 9.000000 
47 	 216 	 222 	 6.000000 
48 	 593 	 167 	 1.000000 
49 	 312 	 61 	 10.000000 
50 	 229 	 559 	 2.000000 
51 	 544 	 313 	 3.000000 
52 	 62 	 61 	 8.000000 
53 	 562 	 176 	 5.000000 
54 	 546 	 186 	 8.000000 
55 	 330 	 267 	 3.000000 
56 	 565 	 32 	 1.000000 
57 	 437 	 379 	 5.000000 
58 	 533 	 92 	 3.000000 
59 	 537 	 397 	 1.000000 
60 	 426 	 406 	 4.000000 
61 	 19 	 536 	 1.000000 
62 	 553 	 48 	 5.000000 
63 	 102 	 438 	 1.000000 
64 	 321 	 178 	 1.000000 
65 	 201 	 137 	 6.000000 
66 	 319 	 253 	 6.000000 
67 	 473 	 464 	 8.000000 
68 	 378 	 517 	 1.000000 
69 	 159 	 566 	 4.000000 
70 	 60 	 440 	 9.000000 
71 	 336 	 375 	 7.000000 
72 	 311 	 255 	 10.000000 
73 	 29 	 416 	 2.000000 
74 	 351 	 121 	 1.000000 
75 	 494 	 68 	 1.000000 
76 	 111 	 292 	 6.000000 
77 	 586 	 27 	 9.000000 
78 	 49 	 260 	 6.000000 
79 	 101 	 117 	 8.000000 
80 	 580 	 312 	 10.000000 
81 	 278 	 491 	 7.000000 
82 	 227 	 508 	 10.000000 
